Date,Building Type,Availability,Rent,Security Deposit,Bedrooms,Bathrooms,Units in Bldg.,Full Address
06/23/2021,House,Rented,Contact office,Half Month,4,3.5,1,"12644 West Bypass Road, Fort St John, British Columbia, V1J 4M6, Canada"
06/23/2021,House,Rented,$2200 Rates Subject to Change Without Notice,1/2 months rent,5,2,1,"8800-98 Avene, Fort St John, British Columbia, V1J 7G8, Canada"
06/23/2021,House,Rented,$2200/month rent advertised online subject to change without notice,Half Month,3,2,1,"10303 115 Avenue, Fort St John, British Columbia, V1J 0P8, Canada"
06/23/2021,House,Rented,$2200/month Rates Subject to Change without Notice,1/2 Month,4,3,1,"10407 89 St, Fort St John, British Columbia, V1J 5Y2, Canada"
06/23/2021,House,Rented,$2200/month Rates Subject to Change without Notice,Half Month,6,3,1,"11324 - 94 st, Fort St John, British Columbia, V1J 3M2, Canada"
06/23/2021,House,Rented,$2350/month,Half Month,2,2,1,"10727 Northern Lights Drive, Fort St John, British Columbia, Canada"
06/23/2021,House,Rented,$1800/month Rates Subject to Change without Notice,HALF MONTH,3,2,1,"9719 114A Avenue, Fort St John, British Columbia, V1J 7B9, Canada"
06/23/2021,House,Rented,2600/month Rates Subject to Change without Notice,1/2 MONTHS RENT,5,3,1,"10603 109 Street, Fort St John, British Columbia, V1J 5P2, Canada"
06/23/2021,House,Rented,$2200/month,HALF MONTHS RENT,3,2,1,"10612 107 Street, Fort St John, British Columbia, V1J 5P1, Canada"
06/23/2021,House,Rented,$2000/month,Half Month,4,2,1,"8904 87 Avenue, Fort St John, British Columbia, V1J 4K2, Canada"
06/23/2021,House,Rented,$1500/month,Half Month,2,1,1,"10400 108 Street, Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,House,Rented,Call Office for Rates,1/2 Months Rent,4,2.5,1,"10464 East Bypass Road, Fort St John, British Columbia"
06/23/2021,House,Rented,1500/month Rates Subject to Change without Notice,HALF MONTH,2,2,2,"10315 106 Street, Fort St John, British Columbia, V1J 4G1, Canada"
06/23/2021,House,Rented,$1750/month,1/2 Months Rent,3,1,1,"8403 89 Avenue, Fort St John, British Columbia, V1J 6E7, Canada"
06/23/2021,House,Rented,$2195/month,Half Month,4,2,1,"11986 Northern Lights Drive, Fort St John, British Columbia, V1J 7A5, Canada"
06/23/2021,House,Vacant,$1300/month,HALF MONTHS RENT,3,2,2,"9615 102 Street, Fort St John, British Columbia, V1J 4A8, Canada"
06/23/2021,Multiplex,Rented,1200/month Rates Subject to Change without Notice,HALF MONTH,3,1.5,2,"9111 101 Avenue, Fort St John, British Columbia, V1J 3Z1, Canada"
06/23/2021,Multiplex,Rented,$950/month,1/2 MONTHS RENT,2,1,2,"9111 101 Avenue, Fort St John, British Columbia, V1J 2A7, Canada"
06/23/2021,Multiplex,Rented,1395/month Rates Subject to Change without Notice,1/2 Months Rent,3,2.5,1,"#101-8304-92 Ave, Fort St John, British Columbia, V1J 6X2, Canada"
06/23/2021,Multiplex,Rented,$1095/month,Half Month,2,1,,"#1 10223 98 Avenue, Fort St John, British Columbia, V1j 0B1, Canada"
06/23/2021,Multiplex,Rented,$1000/month,1/2 MONTHS RENT,2,2,4,"11008 104A Avenue , Fort St John, British Columbia, V1J 0J3, Canada"
06/23/2021,Multiplex,Rented,$1600/month Rent advertised online subject to change without notice,Half Month,3,2.5,2,"9207 102 ave, Fort St John, British Columbia, V1J 0J9, Canada"
06/23/2021,Multiplex,Rented,$1195/month,Half Month,3,1.5,,"9019 86 Street, Fort St John, British Columbia, V1J 6X4, Canada"
06/23/2021,Multiplex,Rented,$1600/month,Half Month,3,2.5,2,"8414 85 Ave, Fort St John, British Columbia, V1J 0G3, Canada"
